od,do,odleglosc,czas_rano,czas_poludnie,czas_wieczor
7,662,10.01,29,16,19
7,689,11.02,30,18,21
7,748,6.27,14,7,8
7,758,3.87,6,3,4
7,799,5.74,13,7,10
7,809,3.85,7,4,8
7,821,3.38,8,6,6
7,829,5.71,19,8,13
7,841,5.68,18,9,11
7,842,9.58,11,5,8
7,854,5.89,14,8,12
7,873,8.78,12,9,8
7,878,10.13,23,15,18
7,892,7.62,18,10,20
7,906,6.37,19,12,10
7,908,2.62,9,5,6
7,925,7.15,8,6,5
7,945,4.28,3,2,3
7,955,5.43,9,7,9
7,966,7.55,6,5,7
7,973,11.8,28,16,21
7,982,9.13,14,13,16
7,994,11.65,20,11,16
7,997,11.65,40,19,22
8,80,7.98,11,8,12
8,85,7.96,13,8,10
8,107,4.02,10,4,7
8,164,9.86,20,13,17
8,177,7.52,7,5,5
8,191,11.66,19,11,11
8,231,3.13,3,2,2
8,235,9.58,21,17,16
8,236,5.93,17,9,10
8,302,7.2,16,9,14
8,321,8.77,13,12,15
8,324,9.86,19,12,14
8,336,10.88,27,22,21
8,352,7.07,14,6,12
8,358,6.8,17,9,10
8,359,7.49,11,8,11
8,440,8.07,16,12,18
8,446,11.79,27,13,14
8,450,10.55,12,9,9
8,481,9.65,15,9,9
8,484,7.17,19,11,15
8,538,9.39,25,16,18
8,605,8.35,21,13,19
8,609,11.12,21,14,20
8,640,10.2,27,17,24
8,641,11.13,22,13,17
8,663,3.36,4,3,4
8,678,8.2,7,7,10
8,731,10.55,10,7,9
8,752,8.72,16,9,13
8,775,5.24,15,8,8
8,784,4.56,8,5,6
8,796,11.14,20,13,21
8,802,11.19,25,12,13
8,817,3.54,9,6,7
8,869,5.55,5,4,4
8,885,11.34,25,20,20
8,917,10.09,17,11,13
8,961,6.29,17,9,9
9,95,4.39,8,7,7
9,185,2.78,4,3,3
9,243,6.23,15,8,9
9,252,10.33,19,10,14
9,277,8.62,17,9,12
9,279,5.32,12,8,13
9,303,7.26,11,8,9
9,313,2.08,6,3,3
9,384,1.88,6,2,4
9,502,6.05,15,11,12
9,540,5.42,10,6,10
9,541,10.66,12,6,11
9,580,8.91,8,7,7
9,590,8.94,18,11,13
9,613,7.05,20,10,10
9,617,9.81,19,11,13
9,747,6.18,14,9,11
9,781,8.16,19,12,18
9,787,6.88,7,5,8
9,852,7.52,12,8,12
9,879,7.81,18,11,13
9,910,8.97,22,10,15
9,951,11.69,28,19,19
9,996,5.01,6,4,4
10,141,11.94,27,14,18
10,214,4.11,12,7,6
10,241,5.02,5,3,6
10,299,1.14,2,1,2
10,306,9.03,26,11,20
10,312,10.29,35,17,22
10,346,2.97,6,3,6
10,360,8.12,23,14,22
10,377,6.17,7,3,5
10,390,9.86,17,12,12
10,504,4.89,7,5,8
10,645,6.72,23,9,18
10,704,7.19,14,10,11
10,742,10.62,20,12,19
10,763,1.78,1,1,1
10,823,8.62,25,17,18
10,860,7.41,11,6,8
10,865,8.71,25,17,15
10,985,8.8,18,11,11
11,14,8.79,11,7,10
11,64,5.44,13,11,15
11,164,6.62,20,11,10
11,212,5.74,9,5,4
11,236,11.57,39,20,29
11,302,7.03,8,3,4
11,321,8.27,24,16,19
11,333,4.3,10,6,10
11,336,3.53,9,5,6
11,446,8.7,29,16,15
11,450,11.73,15,13,17
11,470,10.04,16,9,14
11,538,6.79,15,9,9
11,592,5.73,15,11,14
11,593,4.18,8,4,6
11,609,7.43,8,3,5
11,610,8.65,18,10,10
11,641,7.78,11,6,7
11,661,9.05,15,9,11
11,678,11.76,22,15,24
11,731,10.13,12,8,10
11,760,9.42,17,10,13
11,778,5.72,11,7,9
11,789,11.03,17,12,13
11,791,10.36,17,9,11
11,810,1.21,3,1,3
11,815,1.56,2,1,2
11,923,1.91,2,2,2
11,970,8.15,20,14,16
12,18,5.65,8,5,8
12,53,7.9,25,11,19
12,66,4.26,5,3,5
12,100,4.42,9,4,7
12,112,4.79,9,4,6
12,122,9.3,16,11,16
12,173,5.8,17,9,14
12,211,4.49,5,3,2
12,216,4.56,13,7,9
12,230,8.46,19,11,13
12,316,4.42,5,4,4
12,338,10.83,33,16,19
12,339,6.74,20,8,10
12,408,5.44,12,9,12
12,421,2.47,2,1,2
12,430,8.45,11,6,11
12,451,5.15,9,8,8
12,507,4.28,3,3,4
12,535,8.54,11,11,13
12,536,9.52,13,8,8
12,566,8.5,17,10,15
12,572,4.03,3,2,2
12,602,9.96,22,13,14
12,627,9.06,27,16,25
12,651,5.21,9,5,8
12,682,7.6,12,8,8
12,694,9.7,17,8,9
12,717,9.37,16,10,11
12,806,10.22,33,14,17
12,862,8.88,24,13,15
12,871,11.64,25,17,21
12,911,9.97,16,8,10
12,927,9.78,13,9,13
12,976,8.89,12,10,14
12,984,10.37,27,15,23
12,998,3.88,7,4,6
13,28,11.79,27,18,30
13,32,8.06,15,7,12
13,67,7.26,9,7,5
13,74,11.93,18,15,17
13,85,11.71,29,17,21
13,105,5.84,9,7,9
13,106,9.18,19,11,16
13,155,11.71,15,8,12
13,157,10.21,25,13,19
13,167,8.76,30,17,23
13,191,6.41,8,5,4
13,196,9.62,14,9,17
13,231,9.76,13,10,12
13,235,8.85,11,9,9
13,300,9.64,16,9,13
13,304,3.99,10,8,10
13,308,8.63,16,12,14
13,359,11.37,17,11,10
13,440,9.14,13,6,8
13,473,10.31,14,8,11
13,481,2.86,5,3,3
13,484,5.3,16,9,10
13,528,3.86,5,3,3
13,565,9.23,19,13,22
13,575,11.63,22,9,15
13,605,11.74,23,12,17
13,612,9.18,11,6,8
13,619,4.66,8,5,7
13,637,2.62,8,5,7
13,638,10.61,31,20,23
13,660,9.05,20,12,14
13,664,6.63,11,6,9
13,718,8.69,18,11,11
13,754,1.42,3,2,2
13,767,8.13,12,5,8
13,775,7.65,11,9,10
13,784,8.59,13,10,12
13,802,1.69,1,1,1
13,817,9.91,20,15,23
13,917,2.48,7,4,6
13,918,3.28,7,4,7
13,961,7.11,20,9,10
13,978,7.97,18,15,21
14,30,11.74,14,10,9
14,40,10.44,18,12,19
14,64,3.38,8,6,6
14,79,9.79,30,15,23
14,80,9.89,29,20,22
14,198,11.57,31,23,28
14,204,8.39,11,5,8
14,212,3.29,3,2,2
14,302,11.77,19,16,22
14,324,8.75,7,5,6
14,336,7.44,17,10,12
14,446,3.91,3,3,3
14,450,6.87,18,10,13
14,592,3.08,4,2,3
14,609,4.46,7,4,6
14,641,4.43,6,3,3
14,672,7.58,15,9,13
14,690,11.88,14,12,11
14,789,3.98,6,3,5
14,810,8.41,16,11,14
14,815,8.37,22,9,17
14,885,9.37,16,9,14
14,921,8.73,17,10,10
14,923,10.56,25,17,23
14,924,8.82,11,5,8
14,963,10.12,8,7,7
15,41,10.1,13,7,9
15,69,9.3,15,13,17
15,70,10.47,21,17,21
15,113,0.25,1,1,1
15,150,7.63,12,7,13
15,170,9.09,18,10,13
15,176,5.54,12,8,10
15,180,10.16,21,17,22
15,206,10.32,31,16,20
15,245,4.34,13,6,6
15,254,10.92,26,15,21
15,255,10.47,25,22,27
15,256,6.02,6,5,7
15,259,11.59,21,13,14
15,267,9.7,9,6,12
15,345,3.71,4,3,4
15,354,7.09,7,5,7
15,376,5.72,9,5,7
15,402,4.57,11,7,9
15,437,3.28,9,6,5
15,464,11.52,16,7,13
15,493,11.75,38,22,25
15,506,3.23,4,3,5
15,512,8.25,15,11,16
15,556,5.1,8,6,7
15,567,9.7,29,16,15
15,608,1.28,1,1,1
15,625,4.37,9,5,7
15,662,3.41,6,6,6
15,758,10.33,14,9,10
15,799,10.09,12,6,11
15,809,3.2,6,4,6
15,821,9.75,16,10,16
15,829,11.29,23,11,14
15,841,11.93,28,18,21
15,842,11.26,19,11,16
15,854,5.04,9,6,7
15,878,4.14,7,3,5
15,892,9.25,27,14,24
15,908,4.71,11,5,8
15,925,2.98,3,2,3
15,945,9.47,19,13,16
15,955,2.34,6,3,4
15,966,10.71,10,7,9
15,973,11.0,14,12,13
15,982,8.55,7,6,8
15,993,10.85,17,15,17
15,999,10.47,18,11,13
16,33,11.49,23,12,17
16,73,11.28,18,9,13
16,136,1.19,2,1,2
16,189,5.52,13,6,13
16,249,8.68,14,9,12
16,272,8.3,12,8,10
16,289,8.37,13,9,9
16,353,2.06,5,3,4
16,367,8.9,18,11,11
16,373,2.94,7,5,6
16,385,11.14,16,8,13
16,397,4.46,4,3,5
16,399,9.94,14,8,11
16,404,8.64,8,6,9
16,415,7.7,17,9,12
16,419,6.52,14,10,13
16,460,3.6,6,4,4
16,468,6.3,16,8,9
16,486,9.96,33,17,22
16,491,9.06,13,11,11
16,520,6.3,9,6,6
16,526,10.01,18,13,17
16,534,10.29,23,22,25
16,537,3.49,6,5,4
16,586,4.62,12,5,7
16,595,5.09,15,8,10
16,614,3.5,9,5,6
16,618,7.78,18,12,14
16,620,6.83,9,8,11
16,653,10.19,23,16,19
16,665,6.19,16,10,15
16,676,6.14,14,6,8
16,711,5.93,11,7,8
16,740,8.44,22,15,23
16,753,5.38,10,6,6
16,776,4.7,13,6,9
16,800,6.14,16,9,14
16,812,8.25,12,9,14
16,819,4.84,14,8,12
16,820,4.52,10,7,11
16,858,11.49,18,11,11
16,882,8.63,16,7,10
16,897,9.78,15,10,13
16,915,9.86,29,15,24
16,947,9.79,19,8,12
16,959,6.13,13,9,15
16,969,3.95,13,7,6
16,990,1.89,3,2,2
17,41,10.92,29,17,16
17,44,0.97,2,1,1
17,45,3.84,11,5,8
17,61,6.77,14,8,8
17,69,8.98,10,8,10
17,70,7.86,8,5,7
17,77,10.12,32,15,18
17,117,2.46,4,4,4
17,150,10.86,14,9,12
17,176,11.29,31,18,24
17,180,5.6,11,8,9
17,197,2.78,4,2,4
17,206,10.52,14,8,10
17,254,6.57,11,7,6
17,267,6.04,9,6,5
17,328,5.84,7,5,5
17,361,3.77,10,6,7
17,363,5.76,10,7,8
17,409,4.46,10,7,11
17,426,7.44,12,9,9
17,464,4.29,9,8,8
17,503,5.05,7,4,7
17,509,1.96,5,2,3
17,512,10.91,37,21,28
17,521,8.66,22,12,15
17,542,4.04,8,4,6
17,692,11.21,13,8,11
17,748,9.38,31,13,21
17,758,6.25,8,6,8
17,821,6.56,13,10,11
17,829,4.45,5,3,3
17,841,8.91,14,6,11
17,873,5.82,9,6,9
17,892,9.45,20,12,18
17,906,3.57,6,3,3
17,908,11.04,10,8,8
17,945,11.16,22,14,20
17,966,7.21,10,6,5
17,994,2.37,6,3,3
18,30,11.6,30,18,19
18,40,10.61,21,15,15
18,53,11.25,26,17,25
18,66,3.02,4,3,4
18,79,9.09,16,13,14
18,100,6.02,6,4,5
18,112,8.83,24,16,20
18,173,10.54,16,9,9
18,198,11.41,20,14,14
18,204,11.01,18,11,11
18,211,1.44,2,1,1
18,216,8.74,16,14,19
18,223,8.91,23,14,14
18,230,10.23,28,20,21
18,285,11.24,13,8,13
18,316,3.85,7,4,5
18,338,5.28,12,9,9
18,339,11.57,37,20,18
18,364,6.88,14,11,11
18,392,10.17,16,12,12
18,408,4.23,7,4,7
18,421,7.79,16,11,15
18,451,1.79,3,2,3
18,507,9.82,11,7,10
18,511,9.68,17,12,14
18,527,10.32,13,7,9
18,566,5.57,12,8,14
18,572,5.8,10,5,6
18,651,2.03,2,1,1
18,682,2.75,4,2,2
18,690,6.94,12,7,12
18,694,5.67,7,4,4
18,806,4.57,14,7,11
18,862,5.17,6,4,5
18,871,6.61,17,8,14
18,911,4.38,3,2,3
18,927,4.13,6,5,7
18,984,5.04,7,6,6
18,998,1.82,4,2,2
19,46,8.75,20,12,15
19,52,9.49,31,17,25
19,115,4.61,9,9,10
19,145,5.51,18,11,12
19,165,5.46,8,6,7
19,169,2.01,3,3,3
19,195,8.84,19,12,14
19,213,5.8,6,3,5
19,232,5.59,5,3,4
19,253,11.36,17,9,12
19,290,5.51,14,8,9
19,295,10.05,32,14,25
19,314,6.31,7,4,7
19,320,10.88,33,18,28
19,348,10.65,16,9,12
19,368,8.4,12,7,13
19,478,4.89,6,3,6
19,483,8.63,18,9,12
19,510,11.98,33,17,23
19,544,9.11,13,9,15
19,561,5.62,5,4,5
19,570,6.52,9,4,6
19,577,7.23,17,9,10
19,582,4.25,14,7,8
19,607,10.56,12,6,11
19,616,9.32,19,9,16
19,635,1.03,2,1,1
19,713,10.38,24,20,23
19,721,1.74,4,1,2
19,732,10.64,14,9,14
19,735,11.71,12,9,13
19,739,7.83,10,6,7
19,795,4.74,7,4,5
19,859,6.35,22,12,16
19,870,3.22,5,2,2
19,880,7.58,13,9,14
19,893,11.69,16,12,13
19,946,9.13,19,18,24
19,949,2.98,3,2,2
19,965,6.9,6,6,5
19,971,11.7,28,21,34
20,42,6.66,18,9,15
20,71,0.85,1,1,1
20,104,3.29,4,2,3
20,132,10.46,25,17,23
20,168,11.42,13,8,15
20,205,4.25,4,3,4
20,225,10.62,23,16,19
20,234,2.55,5,4,5
20,374,8.7,18,12,16
20,394,9.82,11,8,10
20,425,8.44,18,17,18
20,427,8.16,7,4,5
20,435,9.33,11,5,7
20,436,2.06,4,2,3
20,470,11.79,32,19,21
20,524,5.64,12,6,9
20,650,8.45,25,12,20
20,668,2.74,4,2,3
20,722,9.44,23,12,17
20,729,7.34,7,5,8
20,730,2.34,2,1,1
20,745,11.72,22,17,17
20,751,11.43,26,11,20
20,791,11.07,21,16,22
20,830,9.0,14,6,7
20,902,2.83,6,4,4
20,914,3.99,10,7,8
20,920,4.45,7,4,4
20,964,4.72,4,3,4
21,22,10.37,31,14,27
21,93,4.8,12,6,10
21,114,7.66,19,16,21
21,137,4.87,13,7,13
21,144,11.69,10,7,8
21,154,9.72,29,20,17
21,219,5.83,8,7,9
21,244,8.94,28,13,21
21,250,4.52,9,5,9
21,307,6.17,8,4,6
21,414,9.12,12,8,7
21,417,6.84,14,8,7
21,434,6.72,7,4,7
21,448,11.43,23,12,14
21,461,1.19,2,1,2
21,495,11.92,30,19,33
21,514,10.48,22,9,14
21,550,6.96,17,10,13
21,559,8.95,19,11,22
21,568,11.63,26,15,24
21,585,4.39,11,7,7
21,615,6.57,17,8,13
21,622,8.5,11,8,10
21,654,8.56,28,11,14
21,669,11.19,25,18,24
21,681,11.66,21,18,24
21,701,10.44,25,13,17
21,744,10.45,28,19,24
21,759,11.18,35,18,18
21,771,10.62,24,17,25
21,785,3.89,6,4,5
21,794,10.6,32,17,22
21,831,10.35,34,19,27
21,929,6.62,11,9,9
21,941,9.22,21,19,24
22,36,11.16,32,15,25
22,58,3.93,8,3,5
22,78,7.76,8,6,5
22,123,9.01,19,16,19
22,137,7.35,11,7,11
22,144,2.83,8,4,6
22,154,10.35,29,14,23
22,178,7.86,10,6,6
22,264,4.81,8,5,6
22,311,1.83,4,3,4
22,332,10.56,32,15,17
22,382,8.21,21,11,14
22,414,10.65,27,16,23
22,422,8.28,9,7,11
22,434,11.09,17,13,16
22,448,9.28,20,8,16
22,461,10.23,32,15,22
22,559,8.68,12,6,6
22,563,9.84,22,11,16
22,573,11.43,37,17,21
22,574,11.78,23,13,18
22,585,10.33,11,7,8
22,628,10.08,21,12,19
22,633,10.89,25,17,23
22,642,5.38,14,10,12
22,681,3.68,5,4,5
22,701,10.56,16,12,11
22,741,5.53,18,8,12
22,750,11.38,17,9,11
22,759,8.34,14,11,13
22,774,11.54,31,18,23
22,783,6.68,19,12,12
22,794,8.32,18,11,18
22,825,11.59,16,9,9
22,831,3.99,8,3,5
22,919,9.08,11,6,10
22,933,6.51,17,9,14
23,36,8.99,32,14,20
23,58,10.0,22,12,17
23,96,8.28,27,12,18
23,103,4.2,9,4,8
23,108,0.41,1,1,1
23,142,8.75,19,13,17
23,143,11.58,18,11,11
23,161,2.18,3,1,1
23,171,5.67,8,4,6
23,178,4.87,8,5,5
23,184,2.04,2,2,3
23,190,3.22,8,4,6
23,264,8.24,14,7,8
23,294,7.8,19,9,16
23,309,9.09,20,15,17
23,311,10.88,32,15,24
23,318,3.92,4,2,3
23,332,11.93,29,22,23
23,341,7.68,10,7,10
23,362,9.93,22,15,19
23,382,6.1,14,9,15
23,395,10.19,8,6,10
23,406,4.82,16,8,9
23,422,7.24,10,7,11
23,443,10.62,22,15,20
23,467,6.55,22,11,14
23,508,10.65,16,12,14
23,551,4.24,6,5,4
23,563,8.86,14,11,15
23,597,10.44,32,18,25
23,604,2.8,3,2,2
23,629,4.07,8,5,6
23,633,3.16,5,3,5
23,688,10.2,17,8,11
23,741,7.33,6,4,7
23,782,8.94,17,14,18
23,783,7.69,21,12,12
23,790,9.13,23,17,25
23,793,5.62,12,8,9
23,816,10.9,10,6,11
23,825,1.33,1,1,1
23,831,11.68,20,14,21
23,877,11.69,26,24,31
23,919,4.29,8,5,7
23,933,7.33,12,12,11
23,956,10.99,31,13,18
23,962,4.17,12,8,10
24,27,3.27,8,6,5
24,102,1.09,1,1,1
24,109,1.55,2,2,2
24,135,8.13,13,7,8
24,172,8.62,19,12,14
24,183,0.52,1,1,1
24,207,5.78,12,8,10
24,214,11.5,23,17,17
24,241,10.27,28,15,21
24,242,10.84,27,20,30
24,299,11.81,21,12,17
24,306,4.34,4,3,5
24,360,8.29,24,15,15
24,377,7.93,23,12,16
24,390,6.78,15,12,16
24,416,11.52,18,10,11
24,452,10.44,17,16,20
24,477,11.09,13,8,12
24,487,7.69,20,16,21
24,539,11.84,17,13,15
24,560,4.03,4,2,3
24,624,2.87,4,2,3
24,645,6.84,6,4,6
24,687,9.35,14,6,10
24,700,2.73,5,3,3
24,742,3.17,8,4,5
24,839,8.09,11,7,10
24,858,10.86,22,15,23
24,860,5.61,9,7,11
24,867,8.38,25,13,20
24,895,10.59,22,13,16
24,931,11.24,23,11,18
24,947,10.55,14,8,9
24,985,4.79,9,8,10
25,29,6.13,15,8,15
25,31,7.28,9,6,7
25,54,9.9,13,10,10
25,76,4.98,13,8,12
25,94,8.43,15,9,11
25,126,5.85,11,5,7
25,134,8.85,10,8,10
25,138,5.43,14,7,11
25,147,8.57,16,8,10
25,199,7.73,10,5,8
25,201,4.69,12,6,8
25,203,6.79,11,8,11
25,228,3.18,4,2,3
25,229,4.42,9,7,8
25,249,12.0,14,10,10
25,265,11.28,20,14,13
25,268,3.63,9,7,8
25,269,2.57,7,4,5
25,325,11.95,10,10,8
25,335,7.26,17,14,13
25,375,11.05,12,10,10
25,441,6.87,20,13,15
25,442,11.37,24,14,22
25,456,7.37,17,12,16
25,474,9.1,16,12,16
